"IntelliNews Bulgaria Country Report","Emerging Markets Direct","London, United Kingdom","Countries","Bulgaria",104,"http://www.reportbuyer.com/countries/europe/bulgaria/bulgaria_country_report_1.html","Published on 07-Sep-2011",7
"2011 Trendology: U.S. Direct Mail","Trendology Research","Bath , United States","Business &amp; Government","United States",297,"http://www.reportbuyer.com/business_government/advertising_marketing/direct_marketing/2011_trendology_u_s_direct_mail.html","Published on 01-Jan-2011",162
"2011 Trendology: U.S. Fast Food Restaurants","Trendology Research","Bath , United States","Leisure & Media","United States",297,"http://www.reportbuyer.com/leisure_media/dining/fast_food/2011_trendology_u_s_fast_food_restaurants.html","Published on 01-Jan-2011",120
"2011 Trendology: U.S. Full-Service Restaurants","Trendology Research","Bath , United States","Leisure & Media","United States",297,"http://www.reportbuyer.com/leisure_media/dining/restaurants/2011_trendology_u_s_full_service_restaurants.html","Published on 01-Jan-2011",120
"2011 Trendology: U.S. Health &amp; Medical Insurance Carriers","Trendology Research","Bath , United States","Pharma &amp; Healthcare","United States",297,"http://www.reportbuyer.com/pharma_healthcare/healthcare/health_insurance/2011_trendology_u_s_health_medical_insurance_carriers.html","Published on 01-Jan-2011",80
"2011 Trendology: U.S. Home Health Care Services","Trendology Research","Bath , United States","Pharma &amp; Healthcare","United States",297,"http://www.reportbuyer.com/pharma_healthcare/healthcare/2011_trendology_u_s_home_health_care_services.html","Published on 01-Jan-2011",121
"2011 Trendology: U.S. Beer, Wine &amp; Liquor Stores","Trendology Research","Bath , United States","Food & Drink","United States",297,"http://www.reportbuyer.com/food_drink/alcoholic_drinks/2011_trendology_u_s_beer_wine_liquor_stores.html","Published on 01-Jan-2011",119
"2011 Trendology: U.S. Department Stores","Trendology Research","Bath , United States","Consumer Goods & Retail","United States",297,"http://www.reportbuyer.com/consumer_goods_retail/shopping/2011_trendology_u_s_department_stores.html","Published on 01-Jan-2011",115
"Pharma China Journal Edition","WiCON International","Princeton, United States","Pharma &amp; Healthcare","China",1651,"http://www.reportbuyer.com/pharma_healthcare/country_reports_pharmaceutical/pharma_china_journal_edition.html","Published on 12-Dec-2008",28
"Pharma China Web Edition","WiCON International","Princeton, United States","Pharma &amp; Healthcare","China",0,"http://www.reportbuyer.com/pharma_healthcare/country_reports_pharmaceutical/pharma_china_web_edition.html","Published on 12-Dec-2008",28
"Pharma China Gold Package","WiCON International","Princeton, United States","Pharma &amp; Healthcare","China",2747,"http://www.reportbuyer.com/pharma_healthcare/country_reports_pharmaceutical/pharma_china_gold_package.html","Published on 12-Dec-2008",28
"Doing Business in Ukraine","Frishberg & Partners","Kiev, Ukraine","Business Books","Ukraine",68,"http://www.reportbuyer.com/business_books/international_business/doing_business_ukraine.html","Published on 11-Nov-2007",685
"Trends & Opportunities in Mobile Internet","Roundpoint","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/mobile_content_apps/trends_opportunities_mobile_internet.html","Published on 01-Dec-2008",3
"European Online Information Market 2007","IRN Research","Birmingham, United Kingdom","Business &amp; Government","All",939,"http://www.reportbuyer.com/business_government/misc_business_services/european_online_information_market_2007.html","Published on 07-Jul-2007",72
"European B2B Information Market 2008","IRN Research","Birmingham, United Kingdom","Leisure & Media","All",939,"http://www.reportbuyer.com/leisure_media/publishing/european_b2b_information_market_2008_1.html","Published on 02-Feb-2008",149
"Asia Pacific Business Information Market 2008","IRN Research","Birmingham, United Kingdom","Business &amp; Government","All",743,"http://www.reportbuyer.com/business_government/misc_business_services/asia_pacific_business_information_market_2008.html","Published on 05-May-2008",97
"Global Market Data Industry 2007","IRN Research","Birmingham, United Kingdom","Business &amp; Government","All",1252,"http://www.reportbuyer.com/business_government/misc_business_services/global_market_data_industry_2007.html","Published on 06-Jun-2007",77
"UK Legal Services Market Report","IRN Research","Birmingham, United Kingdom","Banking & Finance","United Kingdom",547,"http://www.reportbuyer.com/business_government/law/legal_services/uk_legal_services_market_report.html","Published on 01-Apr-2010",62
"UK - Continent Passenger Profiles","IRN Research","Birmingham, United Kingdom","Transport & Travel","United Kingdom",1487,"http://www.reportbuyer.com/transport_travel/country_overviews_transport_travel/uk_continent_passenger_profiles.html","Published on 09-Sep-2008",41
"UK Cruise Market Reports","IRN Research","Birmingham, United Kingdom","Leisure & Media","United Kingdom",782,"http://www.reportbuyer.com/leisure_media/tourism_travel/annual_cruise_review_2007.html","Published on 20-May-2010",34
"Ferrystat Monthly","IRN Research","Birmingham, United Kingdom","Transport & Travel","All",0,"http://www.reportbuyer.com/transport_travel/maritime/ferrystat_monthly.html","Published on 20-Jul-2010",22
"UK Ferry Market","IRN Research","Birmingham, United Kingdom","Transport & Travel","United Kingdom",782,"http://www.reportbuyer.com/transport_travel/maritime/uk_ferry_market_2008.html","Published on 19-Jun-2010",37
"Freightstat Monthly","IRN Research","Birmingham, United Kingdom","Transport & Travel","All",0,"http://www.reportbuyer.com/transport_travel/freight/freightstat_monthly.html","Published on 20-Jul-2010",9
"European STM Information Market","IRN Research","Birmingham, United Kingdom","Leisure & Media","All",469,"http://www.reportbuyer.com/leisure_media/publishing/magazine_periodicals/european_stm_information_market.html","Published on 14-Sep-2009",49
"The Global Financial Data Market ","IRN Research","Birmingham, United Kingdom","Banking & Finance","All",547,"http://www.reportbuyer.com/banking_finance/country_overview_banking_finance/global_financial_data_market.html","Published on 01-Jan-2010",84
"Selling Medical Devices and Diagnostics","MDDEXEC","United Kingdom","Pharma &amp; Healthcare","All",0,"http://www.reportbuyer.com/pharma_healthcare/medical_devices/selling_medical_devices_diagnostics.html","Published on 15-Nov-2008",14
"Water and Wastewater Utilities of the World 2008","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","All",1565,"http://www.reportbuyer.com/energy_utilities/water/water_wastewater_utilities_world_2008_1.html","Published on 11-Nov-2007",0
"Global Water Market 2008","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","All",2191,"http://www.reportbuyer.com/energy_utilities/water/global_water_market_2008.html","Published on 11-Nov-2007",0
"Water Market Australia","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","Australia",1095,"http://www.reportbuyer.com/energy_utilities/water/water_market_australia_1.html","Published on 09-Sep-2008",0
"Water Market China 2009","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","China",1565,"http://www.reportbuyer.com/energy_utilities/water/water_market_china_2009_1.html","Published on 03-Mar-2008",0
"Water Market India","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","India",1565,"http://www.reportbuyer.com/energy_utilities/water/water_market_india.html","Published on 06-Jun-2008",0
"Desalination Markets 2007","Global Water Intelligence","Oxford, United Kingdom","Energy & Utilities","All",1252,"http://www.reportbuyer.com/energy_utilities/water/desalination_markets_2007_1.html","Published on 12-Dec-2006",0
"Valuation Of Ukrainian Thermal Power Generation","Concorde Capital","Kyiv, Ukraine","Energy & Utilities","All",1369,"http://www.reportbuyer.com/energy_utilities/electricity/valuation_ukrainian_thermal_power_generation.html","Published on 11-Nov-2008",10
"Ukrainian Coal Machinery","Concorde Capital","Kyiv, Ukraine","Industry & Manufacturing","All",1064,"http://www.reportbuyer.com/industry_manufacturing/machinery/ukrainian_coal_machinery.html","Published on 11-Nov-2008",43
"Ukraine Macro Forecast Review","Concorde Capital","Kyiv, Ukraine","Countries","Ukraine",26,"http://www.reportbuyer.com/countries/europe/ukraine/ukraine_macro_forecast_review.html","Published on 11-Nov-2008",3
"Industrial Production In Ukraine","Concorde Capital","Kyiv, Ukraine","Countries","Ukraine",680,"http://www.reportbuyer.com/countries/europe/ukraine/industrial_production_ukraine.html","Published on 11-Nov-2008",2
"Investing In Ukraine","Concorde Capital","Kyiv, Ukraine","Countries","Ukraine",26,"http://www.reportbuyer.com/countries/europe/ukraine/investing_ukraine.html","Published on 11-Nov-2008",34
"Ukraine Gets Usd 16.5 Bln Imf Loan","Concorde Capital","Kyiv, Ukraine","Countries","Ukraine",26,"http://www.reportbuyer.com/countries/europe/ukraine/ukraine_gets_usd_16_5_bln_imf_loan.html","Published on 10-Oct-2008",2
"Ukraine's Liquidity Position","Concorde Capital","Kyiv, Ukraine","Countries","All",26,"http://www.reportbuyer.com/countries/europe/ukraine/ukraines_liquidity_position.html","Published on 10-Oct-2008",3
"Nbu Actions To Support Banks","Concorde Capital","Kyiv, Ukraine","Banking & Finance","All",21,"http://www.reportbuyer.com/banking_finance/company_reports_banking_finance/nbu_actions_support_banks.html","Published on 10-Oct-2008",3
"Uah-Usd Exchange Rate","Concorde Capital","Kyiv, Ukraine","Banking & Finance","All",26,"http://www.reportbuyer.com/banking_finance/strategy/uah_usd_exchange_rate.html","Published on 09-Sep-2008",2
"Ukrainian Agriculture: Land West","Concorde Capital","Kyiv, Ukraine","Companies","All",430,"http://www.reportbuyer.com/food_drink/company_reports_food_drink/ukrainian_agriculture_land_west.html","Published on 09-Sep-2008",44
"Ukraine: Agriculture To Power Economic Growth In 2008","Concorde Capital","Kyiv, Ukraine","Countries","All",266,"http://www.reportbuyer.com/banking_finance/strategy/ukraine_agriculture_power_economic_growth_2008.html","Published on 09-Sep-2008",13
"Ukrainian Dairy: New Export Opportunities","Concorde Capital","Kyiv, Ukraine","Food & Drink","All",344,"http://www.reportbuyer.com/food_drink/dairy/ukrainian_dairy_new_export_opportunities.html","Published on 07-Jul-2008",19
"Ukrainian Steel: ArcelorMittal Kryviy Rih","Concorde Capital","Kyiv, Ukraine","Companies","All",430,"http://www.reportbuyer.com/industry_manufacturing/metals/steel/ukrainian_steel_arcelormittal_kryviy_rih.html","Published on 07-Jul-2008",26
"Independent E&amp;Ps In Ukraine","Concorde Capital","Kyiv, Ukraine","Energy & Utilities","Ukraine",680,"http://www.reportbuyer.com/energy_utilities/oil_gas/exploration_production/independent_eps_ukraine.html","Published on 07-Jul-2008",26
"Ukrainian Media: United Media Holding","Concorde Capital","Kyiv, Ukraine","Companies","All",430,"http://www.reportbuyer.com/leisure_media/company_reports_leisure_media/ukrainian_media_united_media_holding.html","Published on 06-Jun-2008",49
"Ukrainian Banks  Wake up call","Concorde Capital","Kyiv, Ukraine","Banking & Finance","All",430,"http://www.reportbuyer.com/banking_finance/banking/ukrainian_banks_wake_call.html","Published on 05-May-2008",53
"Ukrainian Thermal Energy Generation","Concorde Capital","Kyiv, Ukraine","Energy & Utilities","All",798,"http://www.reportbuyer.com/energy_utilities/electricity/ukrainian_thermal_energy_generation.html","Published on 05-May-2008",47
"Infrastructure. Bridge Construction In Ukraine","Concorde Capital","Kyiv, Ukraine","Industry & Manufacturing","Ukraine",680,"http://www.reportbuyer.com/industry_manufacturing/construction/infrastructure_bridge_construction_ukraine.html","Published on 05-May-2008",32
"Ukrainian Automotive Industry","Concorde Capital","Kyiv, Ukraine","Automotive","All",680,"http://www.reportbuyer.com/automotive/country_overview_automotive/ukrainian_automotive_industry.html","Published on 04-Apr-2008",64
"Ukrainian Iron Ore","Concorde Capital","Kyiv, Ukraine","Industry & Manufacturing","All",680,"http://www.reportbuyer.com/industry_manufacturing/metals/ukrainian_iron_ore.html","Published on 03-Mar-2008",66
